name	region	population
Belgorod Region	RU-BEL	1552900
Bryansk Region	RU-BRY	1220500
Vladimir Region	RU-VLA	1389600
Voronezh Region	RU-VOR	2335400
Ivanovo Region	RU-IVA	1023200
Kaluga Region	RU-KLU	1014600
Kostroma Region	RU-KOS	648200
Kursk Region	RU-KRS	1122900
Lipetsk Region	RU-LIP	1156200
Moscow	RU-MOW	12380700
Moscow Region	RU-MOS	7423500
Orel Region	RU-ORL	754800
Ryazan Region	RU-RYA	1126700
Smolensk Region	RU-SMO	953200
Tambov Region	RU-TAM	1040300
Tver Region	RU-TVE	1296800
Tula Region	RU-TUL	1499400
Yaroslavl Region	RU-YAR	1270700
Republic of Karelia	RU-KR	627100
Komi Republic 	RU-KO	850500
Arkhangelsk Region	RU-ARK	1121800
Vologda Region	RU-VLG	1183900
Kaliningrad Region	RU-KGD	986300
Leningrad Region	RU-LEN	1791900
St. Petersburg	RU-SPE	5281600
Murmansk Region	RU-MUR	757600
Novgorod Region	RU-NGR	612500
Pskov Region	RU-PSK	642200
Nenets Autonomous Area	RU-NEN	43900
Republic of Adygeya 	RU-AD	453400
Republic of Kalmykia	RU-KL	277800
Krasnodar Territory	RU-KDA	5570900
Astrakhan Region	RU-AST	1018900
Volgograd Region	RU-VGG	2535200
Rostov Region	RU-ROS	4231300
Republic of Daghestan	RU-DA	3041900
Republic of Ingushetia	RU-IN	480500
Kabardino-Balkarian Republic	RU-KB	864400
Karachayevo-Circassian Republic	RU-KC	466400
Republic of North Ossetia – Alania	RU-SE	703300
Chechen Republic	RU-CE	1414900
Stavropol Territory	RU-STA	2804400
Republic of Bashkortostan	RU-BA	4067000
Republic of Mari El	RU-ME	684700
Republic of Mordovia	RU-MO	808500
Republic of Tatarstan	RU-TA	3885200
Udmurtian Republic	RU-UD	1516800
Chuvash Republic	RU-CU	1235900
Perm Territory	RU-PER	2632100
Kirov Region	RU-KIR	1291700
Nizhny Novgorod Region	RU-NIZ	3247700
Orenburg Region	RU-ORE	1989600
Penza Region	RU-PNZ	1341500
Samara Region	RU-SAM	3203700
Saratov Region	RU-SAR	2479200
Ulyanovsk Region	RU-ULY	1252900
Kurgan Region	RU-KGN	854100
Sverdlovsk Region	RU-SVE	4329400
Tyumen Region	RU-TYU	1477900
Chelyabinsk Region	RU-CHE	3502300
Khanty-Mansi Autonomous Area – Yugra	RU-KHM	1646100
Yamal-Nenets Autonomous Area	RU-YAN	536000
Republic of Altai	RU-AL	217000
Republic of Buryatia	RU-BU	984100
Republic of Tuva 	RU-TY	318600
Republic of Khakassia	RU-KK	537700
Altai Territory	RU-ALT	2365700
Trans-Baikal Territory	RU-ZAB	1079000
Krasnoyarsk Territory	RU-KYA	2875300
Irkutsk Region	RU-IRK	2408900
Kemerovo Region	RU-KEM	2708800
Novosibirsk Region	RU-NVS	2779500
Omsk Region	RU-OMS	1972700
Tomsk Region	RU-TOM	1078900
Republic of Sakha (Yakutia)	RU-SA	962800
Primorye Territory	RU-PRI	1923100
Kamchatka Territory	RU-KAM	314700
Khabarovsk Territory	RU-KHA	1333300
Amur Region	RU-AMU	801800
Magadan Region	RU-MAG	145600
Sakhalin Region	RU-SAK	487400
Jewish Autonomous Region	RU-YEV	164200
Chukotka Autonomous Area	RU-CHU	49800
Chechen Republic and Republic of Ingushetia	RU-CE & RU-IN	1895400
